"","V1","V2","V3","prob","cumul.prob","V6"
"1042",74,23,3,3.52924691072891e-21,9.91232605989566e-18,80.42
"1043",23,74,3,3.52924691072891e-21,9.91585530680639e-18,80.42
"1044",74,3,23,3.52924691072891e-21,9.91938455371712e-18,80.42
"1045",3,74,23,3.52924691072891e-21,9.92291380062785e-18,80.42
"1046",23,3,74,3.52924691072891e-21,9.92644304753858e-18,80.42
"1047",3,23,74,3.52924691072891e-21,9.92997229444931e-18,80.42
"1048",73,26,1,1.00447796689968e-22,9.930072742246e-18,80.18
"1049",26,73,1,1.00447796689968e-22,9.93017319004269e-18,80.18
"1050",73,1,26,1.00447796689968e-22,9.93027363783938e-18,80.18
"1051",1,73,26,1.00447796689968e-22,9.93037408563607e-18,80.18
"1052",26,1,73,1.00447796689968e-22,9.93047453343276e-18,80.18
"1053",1,26,73,1.00447796689968e-22,9.93057498122945e-18,80.18
"1054",75,18,7,2.2620119866498e-19,1.01567761798944e-17,79.94
"1055",18,75,7,2.2620119866498e-19,1.03829773785594e-17,79.94
"1056",75,7,18,2.2620119866498e-19,1.06091785772244e-17,79.94
"1057",7,75,18,2.2620119866498e-19,1.08353797758894e-17,79.94
"1058",18,7,75,2.2620119866498e-19,1.10615809745543e-17,79.94
"1059",7,18,75,2.2620119866498e-19,1.12877821732193e-17,79.94
"1060",75,17,8,5.08952696996201e-19,1.17967348702155e-17,79.34
